,datetime,real data -,real data +,simulation data -,simulation data +
1581cheese,2015-09-15 00:00,139,35,151,29
1581cheese,2015-09-19 00:00,32,13,41,4
1581cheese,2015-09-20 00:00,24,7,24,7
1581cheese,2015-09-21 00:00,27,14,35,6
1581cheese,2015-09-22 00:00,9,14,21,2
1581cheese,2015-09-23 00:00,8,5,2,11
3758hummus,2015-04-09 00:00,797,811,170,1440
3758hummus,2015-04-10 00:00,147,188,44,296
3758hummus,2015-04-11 00:00,58,74,18,114
3758hummus,2015-04-12 00:00,39,48,12,75
3758hummus,2015-04-13 00:00,35,51,10,76
3758hummus,2015-04-14 00:00,17,37,4,50
3758hummus,2015-04-15 00:00,12,16,4,24
3758hummus,2015-04-16 00:00,3,12,0,15
3758hummus,2015-04-17 00:00,7,6,5,8
3758hummus,2015-04-18 00:00,3,2,4,1
815nestle,2016-10-08 00:00,42,6,42,6
815nestle,2016-10-09 00:00,219,77,234,66
815nestle,2016-10-10 00:00,202,69,209,71
815nestle,2016-10-11 00:00,38,19,42,15
815nestle,2016-10-12 00:00,14,10,18,6
815nestle,2016-10-13 00:00,12,2,10,4
815nestle,2016-10-14 00:00,6,5,10,1
815nestle,2016-10-15 00:00,5,2,6,1
815nestle,2016-10-16 00:00,4,1,2,3
868spinach,2015-03-21 00:00,127,114,182,68
868spinach,2015-03-24 00:00,183,118,216,94
868spinach,2015-03-25 00:00,81,65,95,51
868spinach,2015-03-26 00:00,23,18,28,13
868spinach,2015-03-27 00:00,19,6,11,14
868spinach,2015-03-28 00:00,5,7,11,1
db_bell,2015-03-14 00:00,52,45,80,17
db_bell,2015-03-16 00:00,29,19,39,9
db_bell,2015-03-17 00:00,13,20,25,8
db_bell,2015-03-18 00:00,13,9,1,21
db_bell,2015-03-19 00:00,7,3,8,2
db_bell,2015-03-20 00:00,6,1,5,2
db_bell,2015-03-21 00:00,12,45,49,8
db_bell,2015-03-24 00:00,70,207,51,229
db_bell,2015-03-25 00:00,16,47,12,51
db_bell,2015-03-26 00:00,5,5,1,9
db_bell,2015-03-27 00:00,3,1,3,1
db_bell,2015-04-04 00:00,100,49,136,13
db_bell,2015-04-05 00:00,47,29,65,11
db_bell,2015-04-06 00:00,71,50,104,17
db_bell,2015-04-07 00:00,43,100,122,21
db_bell,2015-04-08 00:00,93,124,35,185
db_bell,2015-04-09 00:00,139,135,51,229
db_bell,2015-04-10 00:00,21,18,33,6
db_bell,2015-04-11 00:00,21,19,32,8
db_bell,2015-04-12 00:00,24,14,34,4
db_bell,2015-04-13 00:00,20,18,29,9
db_bell,2015-04-14 00:00,11,10,15,6
db_bell,2015-04-15 00:00,9,6,12,3
db_bell,2015-04-21 00:00,677,767,265,1185
db_bell,2015-04-22 00:00,195,224,81,339
db_bell,2015-04-23 00:00,137,164,83,227
db_bell,2015-04-24 00:00,69,56,30,95
db_bell,2015-04-25 00:00,42,46,73,15
db_bell,2015-04-26 00:00,39,36,16,59
db_bell,2015-04-27 00:00,30,29,46,13
db_bell,2015-04-28 00:00,29,18,34,13
db_bell,2015-04-29 00:00,17,15,30,2
db_bell,2015-04-30 00:00,17,16,20,13
db_bell,2015-05-11 00:00,36,17,48,5
db_bell,2015-05-12 00:00,22,18,32,8
db_bell,2015-05-13 00:00,31,30,53,8
db_bell,2015-05-14 00:00,77,144,185,45
db_bell,2015-05-15 00:00,327,161,84,406
db_bell,2015-05-16 00:00,46,21,54,13
db_bell,2015-05-17 00:00,66,26,77,15
db_bell,2015-05-18 00:00,43,13,50,6
db_bell,2015-05-19 00:00,43,26,58,11
db_bell,2015-05-20 00:00,43,34,67,10
db_bell,2015-05-21 00:00,12,6,16,2
db_bell,2015-05-22 00:00,12,7,16,3
db_bell,2015-06-08 00:00,7,12,15,4
db_bell,2015-06-09 00:00,8,6,1,13
db_bell,2015-06-10 00:00,225,90,269,51
db_bell,2015-06-11 00:00,25,11,34,2
db_bell,2015-06-12 00:00,9,5,13,1
db_bell,2015-06-13 00:00,6,3,8,1
db_bell,2015-06-14 00:00,6,6,9,3
db_bell,2015-08-09 00:00,42,76,91,27
db_bell,2015-08-12 00:00,19,35,17,37
db_bell,2015-08-13 00:00,14,22,9,27
db_bell,2015-08-14 00:00,6,2,2,6
db_bell,2015-08-15 00:00,4,1,5,0
db_bell,2015-08-16 00:00,1,3,3,1
db_bell,2015-08-17 00:00,40,31,13,58
db_crf,2016-05-03 00:00,99,75,130,50
db_crf,2016-05-04 00:00,43,40,58,25
db_crf,2016-05-05 00:00,18,14,22,10
db_crf,2016-05-06 00:00,9,3,8,4
db_crf,2016-05-07 00:00,1,0,1,0
db_crf,2016-05-08 00:00,2,4,4,2
